code,description
T6050248,"2012 Mainline Track Replacement On The White Plains Road Line"
T6050249,"2012 Mainline Track Replacement On The Broadway Line"
T6050250,"2012 Mainline Track Replacement On The Brighton Line"
T6050251,"2012 Mainline Track Replacement On The Canarsie Line"
T6050253,"2012 Mainline Track Replacement On The Rockaway"
T6050254,"2012 Welded Rail Installation On The 6th Avenue Line"
T6050255,"2013 Mainline Track Replacement On The 6th Avenue Line"
T6050256,"2013 Mainline Track Replacement On The Broadway-7th Avenue Line"
T6050257,"2013 Mainline Track Replacement On The Lexington Line"
T6050258,"2013 Mainline Track Replacement On The 8th Avenue Line"
T6050259,"2013 Mainline Track Replacement On The 8th Avenue Line"
T6050260,"2013 Mainline Track Replacement On The Broadway Line"
T6050261,"2013 Mainline Track Replacement On The Sea Beach Line"
T6050262,"2013 Mainline Track Replacement On The Jamaica Line"
T6050263,"2013 Mainline Track Replacement On The 8th Avenue Line"
T6050264,"2013 Mainline Track Replacement On The Queens Boulevard Line"
T6050265,"2013 Mainline Track Replacement On The Crosstown Line"
T6050266,"2013 Mainline Track Replacement On The Lenox-White Plains Road Line"
T6050267,"2013 Mainline Track Replacement At Brighton Beach Station On The Brighton Line"
T6050268,"2013 Mainline Track Replacement On The 4th Avenue Line"
T6050269,"2013 Mainline Track Replacement On The Canarsie Line"
T6050270,"2013 Mainline Track Replacement On The Concourse Line"
T6050271,"2013 Mainline Track Replacement Archer Avenue Line"
T6050272,"2013 Mainline Track Replacement On The Liberty Avenue Line"
T6050273,"2013 Mainline Track Replacement On The Jerome Line"
T6050274,"2013 Mainline Track Replacement On The Pelham Line"
T6050275,"2013 Mainline Track Replacement On The 7th Avenue Line"
T6050276,"2013 Mainline Track Replacement On The White Plains Road Line"
T6050277,"2013 Mainline Track Replacement On The Queens Boulevard Line"
T6050278,"2013 Mainline Track Replacement On The 8th Avenue Line"
T6050279,"2013 Mainline Track Replacement On The 8th Avenue Line"
T6050280,"2013 Mainline Track Replacement On The Flushing Line"
T6050281,"2013 Mainline Track Replacement In The Greenpoint Tube"
T6050282,"Integrated Wheel And Rail Monitoring And Analytics"
T6050283,"2014 Mainline Track Replacement On The 4 Avenue Line"
T6050284,"2014 Mainline Track Replacement On The 8 Avenue Line"
T6050285,"2014 Mainline Track Replacement On The Concourse Line"
T6050286,"2014 Mainline Track Replacement On The Queens Boulevard Line"
T6050287,"2014 Mainline Track Replacement On The White Plains Road Line"
T6050288,"2014 Mainline Track Replacement On The Eastern Parkway Line"
T6050289,"2014 Mainline Track Replacement On The Jerome Line"
T6050290,"2014 Mainline Track Replacement On The Lexington Avenue And 42 Street Shuttle Lines"
T6050291,"2014 Mainline Track Replacement On The Pelham Line"
T6050292,"2014 Mainline Track Replacement On The 7 Avenue Line"
T6050293,"2014 Mainline Track Replacement On The Brighton Line"
T6050294,"2014 Mainline Track Replacement On The Flushing Line"
T6050298,"2015 Mainline Track Replacement On The Queens Boulevard Line"
T6050299,"2015 Mainline Track Replacement On The 8th Avenue Line"
T60502A2,"2015 Welded Rail Installation On The Queens Boulevard Line"
T60502A4,"2015 Mainline Track Replacement On The Flushing Line"
T60502A6,"2015 Mainline Track Replacement On The Broadway 7th Avenue Line"
T60502A7,"2015 Mainline Track Replacement On The Lexington Avenue Line"
T60502A8,"2015 Mainline Track Replacement On The Jerome Line"
T60502A9,"2015 Mainline Track Replacement On The Dyre Avenue Line"
T6050301,"2010 Mainline Switch Replacement"
T6050302,"2011 Mainline Switch Replacement"
T6050303,"2012 Mainline Switch Replacement: Design And Support Costs"
T6050304,"2013 Mainline Switch Replacement: Design And Support Costs"
T6050305,"2014 Mainline Switch Replacement: Design And Support Costs"
T6050306,"2015 Mainline Switch Replacement - Design Only"
T6050307,"2011 Mainline Switch Replacement On The Jamaica Line"
T6050308,"2011 Mainline Switch Replacement On The Broadway Line"
T6050309,"2012 Mainline Switch Replacement On The West End Line"
T6050310,"2012 Mainline Switch Replacement On The Queens Blvd Line"
T6050311,"2012 Mainline Switch Replacement On The Broadway / 7 Av Line"
T6050312,"2012 Mainline Switch Replacement On The Eastern Parkway Line"
T6050313,"2012 Mainline Switch Replacement On The Lexington Avenue Line"
T6050314,"2012 Mainline Switch Replacement On The White Plains Road Line"
T6050315,"2012 Mainline Switch Replacement On The Eastern Parkway Line"
T6050316,"2012 Mainline Switch Replacement On The Eastern Parkway Line"
T6050317,"2013 Mainline Switch Replacement On The Queens Boulevard Line"
T6050318,"2013 Mainline Switch Replacement On The Jamaica Line"
T6050319,"2013 Mainline Switch Replacement On The 8th Avenue Line"
T6050320,"2013 Mainline Switch Replacement On The Brighton Line"
T6050321,"2014 Mainline Switch Replacement On The Eastern Parkway Line"
T6050322,"2014 Mainline Switch Replacement On The White Plains Road Line"
T6050323,"2014 Mainline Switch Replacement On The Queens Boulevard Line"
T6050324,"2015 Mainline Switch Replacement On The 6th Avenue Line"
T6050325,"2015 Mainline Switch Replacement: Support Costs"
T6050326,"2015 Mainline Switch Replacement On The Broadway-7th Avenue Line"
T6050327,"2015 Mainline Track Replacement: Support Costs"
T6050328,"2015 Mainline Track Replacement On The Canarsie Line"
T6060201,"Replace Tunnel Lighting From The 11 st Portal- Queens Plaza On 60th Street Connection"
T6060202,"Replace Tunnel Lighting From 4 Av-Church Ave On The Culver Line"
T6060203,"Replace Tunnel Lighting From Roosevelt Av-36 st On The Queens Blvd Line"
T6060204,"Tunnel Lighting Replacement For 2nd Avenue-63Rd Street Connection"
T6060302,"Study For New Vent Plant South Of Grand Central On The Lexington Av Line"
T6060303,"New Vent Plant At Mulry Square On The 8th Av Line"
T6060304,"New Vent Plant At 46 st On The Queens Blvd Line"
T6060305,"Replace Ventilation Controls At 22 Locations"
T6060306,"Replace Fan Plant Motor Control System At 10 Locations - Design Only"
T6060307,"Replace Supervisory Ventilation Controls At Various Locations - Design Only"
T6060401,"Rehabilitation Of Deep Wells On The Nostrand Ave Line - Design Only"
T6060402,"Rehabilitation Of Deep Wells On The Crosstown Line"
T6060403,"Rehab Of Pumps At 4 Locations On The Pelham, Jerome, And Lenox Lines"
T6060404,"Rehab Of Pumps At 2 Locations In Manhattan"
T6060405,"Rehab Of Pumps At 2 Locations In The Steinway Tube"
T6070301,"Structural Rehabilitation / Flood Wall At The 148 st Yard"
T6070303,"Rehabilitation Of The Culver Viaduct (Underside) - Phase 3"
T6070304,"Viaduct Repair On The Far Rockaway And Rockaway Lines"
T6070305,"Structure Repair From Cypress Hills-130 st On The Jamaica Line"
T6070307,"Overcoat Painting Of Steel Bridges On The Rockaway Line"
T6070308,"Overcoat Painting Of 15 Bridges On The Brighton Line"
T6070309,"Overcoat Painting From Portal-E 180 st On The White Plains Road Line"
T6070311,"Flood Mitigation At 6 Locations In Manhattan"
T6070312,"Rehabilitation Of Retaining Wall On The Sea Beach Line"
T6070313,"Structure Repairs On The Dyre Ave Line"
T6070314,"Overcoat Painting From Broadway Junction-Cypress Hills On The Jamaica Line"
T6070315,"Overcoat Painting From Dyckman St-215 st On The Broadway-7th Av Line"
T6070316,"Priority Structure Repairs On The 4th Av Line"
T6070317,"Overcoat Painting From Church Ave Portal-W 8 st On The Culver Line - Design Only"
T6070318,"Overcoat Painting From Cypress Hills-130 st On The Jamaica Line"
T6070319,"Overcoat Painting From Broadway Junction-New Lots Ave On The Canarsie Line"
T6070320,"Stabilization Of Trackway On The Franklin Ave Shuttle"
T6070321,"Steinway Tube Rehabilitation"
T6070322,"Portal Repairs On The Broadway-7 Avenue Line"
T6070323,"Structural Repairs At Delancey Street On The Nassau Loop Line - Design Only"
T6070324,"Structural Repairs At 9 Avenue Station On The West End Line"
T6070325,"Structural Repairs At Delancey Street Between Norfolk And Suffolk On The Nassau Loop Line (Sbmp)"
T6070326,"Structural Repairs At Delancey Street Between Essex And Norfolk On The Nassau Loop Line (Sbmp)"
T6070327,"Overcoat Painting From Church Ave Portal-Kings Highway On The Culver Line"
T6070328,"Overcoat Painting From Kings Highway-West 8th Street On The Culver Line"
T6070329,"Repair Of Vent Chamber At Southern Boulevard And 147th Street On The Pelham Line"
T6070330,"Structure Repairs From Boston Road-North Of East 180 st On The White Plains Road Line - Design Only"
T6070331,"Overcoat Painting From 157 st Portal-162 st On The Jerome Line - Design Only"
T6070332,"Bridge Work And Overcoat Painting At Dyre Ave Station On The Dyre Avenue Line"
T6070333,"Overcoat Painting At Williamsburg Bridge And Myrtle Avenue On The Jamaica Line In Brooklyn - Design Only"
T6070334,"Overcoat Painting And Steel Repair At 17 Bridges On The Dyre Avenue Line And Flyover At East 180th Street Yard - Design Only"
T6070335,"Overcoat Painting And Steel Repair From 72 st To 103 st On The Flushing Line - Design Only"
T6070336,"Structure Repair Of Viaduct And Deck Sections On The Myrtle Line - Design Only"
T6070337,"Overcoat Painting And Steel Repair At The End Of The Myrtle Line - Design Only"
T6070340,"Replace Bridge Over Atlantic Avenue On The Myrtle Line - Design Only"
T6070341,"Structure Repairs On The Concourse Line In The Bronx - Design Only"
T6070342,"Water Condition Remedy For 2nd Avenue-63Rd Street Connection"
T6070302,"Rehabilitate Emergency Exits At 125 Locations"
T6070306,"Demolish Abandoned Structures"
T6070338,"Structure Repairs In Downtown Manhattan - Design Only"
T6070339,"Structure Repairs In Uptown Manhattan On The Broadway 7th Av And 8th Av Lines - Design Only"
T6070343,"Sandy Mitigation: Steinway Portal"
T6080302,"Replace Signal Messenger Brackets On The Brighton Line"
T6080303,"Modernize Signal Interlocking At Church Avenue On The Culver Line"
T6080304,"Replace Solid State Signal Equipment At 13 Locations"
T6080306,"Support / Removals For Communications-Based Train Control On The Flushing Line"
T6080307,"Install Station Time Signal Enhancements On The Lexington Avenue Line - Phase 2"
T6080310,"Modernize Signal Interlockings At 71st Avenue And Union Turnpike On The Queens Boulevard Line"
T6080311,"Install Communications-Based Train Control Signals Test Track On The Culver Line - Phase 2"
T6080313,"Modernize Signals And Interlockings On The Dyre Avenue Line"
T6080314,"Modernize Signal Interlocking At Roosevelt Avenue On The Queens Boulevard Line"
T6080315,"Modernize Signal Interlocking At 34th Street On The 6th Avenue Line"
T6080316,"Modernize Signal Interlocking At West 4th Street On The 6th Avenue Line"
T6080319,"Install Communication-Based Train Control On The Queens Boulevard Line West - Phase 1"
T6080321,"Modernize Signal Interlocking At Jay Street On The 6th Avenue Line - Design Only"
T6080322,"Rehabilitation Of Ducts And Cables, Steinway Tube"
T6080327,"Modernize Signal Interlockings At 4 Locations On The 6th Avenue Line - Design Only"
T6080328,"Modernize Signal Interlocking At Kings Highway On The Culver Line - Design Only"
T6080335,"Signal Fire Room Suppression, Phase 2 - Design Only"
T6080336,"Cathodic Protection (Steinway Tube)"
T6080301,"Modification Of Signal Control Lines - Phase 4"
T6080305,"Convert R-142 Railcars For Communications-Based Train Control On The Flushing Line"
T6080308,"Replace Stop Cables For Signals - Phase 4"
T6080312,"Modifications To Signal Control Lines - Phase 5"
T6080318,"Modification Of Signal Key-By Circuits - Phase 3"
T6080324,"Communications-Based Train Control: Equipment Supplier Interoperability"
T6080325,"Replacement Of Automatic Train Supervision A-Division And Communications-Based Train Control Status Boards At The Rail Control Center"
T6080326,"Automated Train Supervision: Hardware And Software Upgrade"
T6080329,"Ac To Dc Line Relay Conversions On The Fulton Line"
T6080333,"Ac To Dc Line Relay Conversion On The Fulton Line"
T6080334,"Modifications To Signal Control Lines - Phase 6"
T6080337,"Walkway For 8 Bridges On The Dyre Line"
T6080338,"Sandy Mitigation: Rockaway Line Resiliency"
T6080604,"Public Address/Customer Info Screen Systems"
T6080609,"Upgrade Heating, Ventilation And Air Conditioning (Hvac) Systems In Communication Rooms - Phase 2 (Sbmp)"
T6080610,"Private Branch Exchange (Pbx) System Upgrades - Design Only"
T6080619,"Waterproofing Of Communication Rooms"
T6080620,"Upgrade Ventilation Systems In 19 Communication Rooms"
T6080621,"Passenger Station Local Area Network At 30 Stations"
T6080622,"Help Point At 93 Stations"
T6080623,"Passenger Station Local Area Network At 68 Stations"
T6080624,"Waterproofing Of Communication Rooms At 5 Locations (Sbmp)"
T6080625,"Waterproofing Of Communication Rooms At 2 Locations"
T6080631,"Integrated Service Information & Management B-Division, Module 2"
T6080633,"Help Point At 121 Street Station And Cypress Hills Station On The Jamaica Line"
T6080634,"Help Point At Knickerbocker Ave Station On The Myrtle Ave Line And Sutter Ave Station On The Canarsie Line"
T6080640,"Passenger Station Local Area Network At 3 Stations On The Crosstown Line"
T6080643,"Platform Screen Doors Pilot - Design Only"
T6080644,"Help Point At Junius Street Station On The New Lots Avenue Line And Kingsbridge Road Station On The Jerome Line (Sbmp)"
T6080645,"Help Point At Livonia Avenue And New Lots Avenue Stations On The Canarsie Line (Sbmp)"
T6080648,"Upgrade Of Copper Cable At Livingston Plaza"
T6080649,"Help Point At 64 Stations"
T6080650,"Help Point At 16 Stations"
T6080651,"Help Point At 90Th, 103Rd, And 111th Street Stations On The Flushing Line (Sbmp)"
T6080655,"Help Point At Woodhaven Boulevard Station On The Queens Boulevard Line"
T6080657,"Antenna Cable Replacement For 2nd Avenue-63Rd Street Connection"
T6080661,"Integrated System Information And Management - B Division (Isim-B), Module 3A: Rail Control Center (Rcc) Buildout"
T6080662,"Upgrade Access Nodes At 60 Stations"
T6080601,"Replacement Of Fiber Optic Cable - Phase 1"
T6080602,"Application Cutover To Sonet/Atm Fiber Optic Network - Phase 1"
T6080603,"Police Radio Time Domain Interference And Enhancement"
T6080605,"Upgrade/Expansion Of Communication Rooms - Phase 1"
T6080606,"Replacement Of Subway Radio Portable Units"
T6080607,"Upgrade/Replacement Of Copper Communications Cable - Phase 2"
T6080608,"Upgrade/Replacement Of Vhf Subway Radio System"
T6080613,"Upgrade/Replacement Of Antenna Cable - Design Only"
T6080615,"Upgrade/Replacement Of Copper Communications Cable - Phase 3"
T6080616,"Upgrade Heating, Ventilation And Air Conditioning (Hvac) Systems In Communication Rooms - Phase 3"
T6080617,"Integrated Service Information & Management B-Division (Isim-B)"
T6080618,"Replacement Of Copper Communications Cable"
T6080626,"Integrated Service Information & Management B-Division, Module 1"
T6080627,"Track Intrusion Detection System Pilot"
T6080628,"Integrated Service Information & Management B-Division, Module 1, Group 1"
T6080629,"Integrated Service Information & Management B-Division, Module 1, Group 2"
T6080630,"Integrated Service Information & Management B-Division, Module 1, Group 3"
T6080632,"Install Help Point Systems At 61 Stations"
T6080639,"Replacement Of Copper Communications Cable, Phase 4 - Design Only"
T6080641,"Integrated Service Information & Management B-Division, Module 3"
T6080646,"Replace Uhf T-Band Radio System - Design Only"
T6080647,"Upgrade Of Sonet/Atm Equipment"
T6080652,"Upgrade Of Asynchronous Fiber Optic Network To Sonet - Design Only"
T6080653,"Help Point: Purchase Of 300 Access Node Units"
T6080654,"Liftnet Transition To Ethernet - Design Only"
T6080656,"Replace Server Hardware At The Rail Control Center And The Backup Control Center"
T6080658,"Police Radio System: Enhanced Coverage - Design Only"
T6080659,"B-Division Beacon Train Arrival System"
T6080660,"Integrated Service Information & Management B-Division, Module 5A"
T6090201,"Rehabilitate 5 Substation Enclosures"
T6090202,"Modernize 10th Street Substation On The Culver Line"
T6090204,"Cabling Central Substation - 6th Avenue Line"
T6090205,"Rehabilitate Substation Roofs/Enclosures - Design Only"
T6090207,"Rehabilitate Roof/Enclosure Of Concourse-East 144 Street Substation On The Jerome Line (Sbmp)"
T6090208,"Rehabilitate Roof/Enclosure Of Jerome-Kingsbridge Substation On The Jerome Line (Sbmp)"
T6090209,"Rehabilitate Roof/Enclosure Of East 180 Street-Morris Park Substation On The White Plains Road Line (Sbmp)"
T6090210,"Repair/Replace Underground Substation Hatchways At 5 Locations (SBFP)"
T6090211,"Rehabilitate Roof/Enclosure Of 2 Substations"
T6090212,"Three New Substations On The Canarsie Line - Design Only"
T6090213,"Rehabilitate Roof/Enclosure At Jerome-East 162nd Street Substation On The Jerome Line - Design Only"
T6090214,"Rehabilitate Roof/Enclosure At Gates Avenue Substation On The Canarsie Line (SBFP) - Design Only"
T6090215,"Rehabilitate Roof/Enclosure At Stanton Street Substation On The 6th Avenue Line (SBFP) - Design Only"
T6090216,"Replace 25 Hz Frequency Converters At 10 Substations - Design Only"
T6090217,"Reconstruct 6 Negative Manholes - Central Substation"
T6090218,"Montague-Furman Substation: Low Tension Switchgear"
T6090203,"Repair/Replace Underground Substation Hatchways - Phase 2"
T6090206,"Repair/Replace Underground Substation Hatchways - Phase 3"
T6090219,"Sandy Mitigation: Substation Hardening At 24 Locations"
T6090401,"Repair Power System Duct Bank From 141st Street To 148th Street On The Lenox Avenue Line"
T6090402,"Rehab Circuit Breaker Houses #292/#293 On The Nostrand Ave Line"
T6090404,"Rehab Circuit Breaker Houses #74/74A On The Jamaica Line"
T6090405,"Rehab Circuit Breaker House #403 On The Flushing Line"
T6090406,"Rehab Circuit Breaker House #146 On The Brighton Line"
T6090408,"Replace Power System Negative Cables On 4th Avenue Line, Phase 2"
T6090409,"Rehab Pearl Street Circuit Breaker House On The Clark st Line"
T6090412,"Installation Of Positive And Control Power Cables From 141 Street To 147 Street On The Lenox Avenue Line"
T6090413,"Reconstruction Of Ducts At Stanton st Substation - Design Only"
T6090414,"Rehab Circuit Breaker House #85 On The Canarsie Line - Design Only"
T6090415,"Rehab Circuit Breaker House #86 On The Canarsie Line - Design Only"
T6090416,"Rehab Circuit Breaker House #210 On The White Plains Road Line - Design Only"
T6090403,"Replace Emergency Telephones - Pilot"
T6090407,"Replace Emergency Alarms Phase 1"
T6090410,"Replacement Of Power Cables And Ducts"
T6090417,"Sandy Mitigation: Substation Hardening At 24 Locations"
T6100401,"Rehab 207 st Overhaul Shop Air-Conditioning Shop"
T6100402,"Upgrade 207 st Overhaul Shop Electrical System"
T6100403,"207 st Overhaul Shop Heating Plant"
T6100404,"Upgrade 207 st Maintenance Shop Dc Power"
T6100405,"Rehab East New York Maintenance Shop Ventilation"
T6100406,"Rehabilitate Coney Island Power Centers #2 & #3"
T6100407,"Car Equipment Shops - Priority Repairs"
T6100409,"Yard Lighting At Jerome And Pelham Yards"
T6100410,"Install Yard Closed-Circuit Television Systems - Phase 2"
T6100423,"2011 Yard Switch Replacement At 38 st And Pitkin Yards"
T6100424,"2011 Yard Track Replacement At Concourse And 207 st Yards"
T6100425,"Upgrade 207 st Overhaul Shop Equipment"
T6100426,"Facility Waterproofing At 180th Street Maintenance Shop"
T6100427,"Rehab Car Washers At 3 Yards"
T6100428,"Rehab 1 Car Washer At Coney Island Yard"
T6100429,"Yard Lighting At 207 st Yard - Design Only"
T6100431,"Component Repairs At Car Cleaning Facility - Design Only"
T6100438,"Upgrade Central Electronics Shop At Woodside Facility - Design Only"
T6100439,"Purchase Of Overhead Crane For Concourse Maintenance Facility"
T6100440,"Structural Remediation At East 180th Street Maintenance Facility Building And Retaining Wall - Design Only"
T6100442,"Roof Replacement And Component Repairs At 207th Street Maintenance And Overhaul Shop - Design Only"
T6100443,"Replace Heavy Shop Equipment - Design Only"
T6100450,"Shop Component Repairs At Various Car Equipment Facilities - Design Only"
T6100454,"Boiler Upgrades And Site Remediation At 207th Street Overhaul Shop"
T6100455,"Structural Repairs At 207 Street Boiler House"
T6100408,"Replace Heavy Shop Equipment"
T6100411,"2010 Yard Track Replacement"
T6100412,"2011 Yard Track Replacement"
T6100413,"2012 Yard Track Replacement"
T6100414,"2013 Yard Track Replacement"
T6100415,"2014 Yard Track Replacement"
T6100416,"2015 Yard Track Replacement - Design Only"
T6100417,"2010 Yard Switch Replacement"
T6100418,"2011 Yard Switch Replacement"
T6100419,"2012 Yard Switch Replacement"
T6100420,"2013 Yard Switch Replacement"
T6100421,"2014 Yard Switch Replacement"
T6100422,"2015 Yard Switch Replacement - Design Only"
T6100432,"2015 Yard Switch Replacement"
T6100433,"2015 Yard Track Replacement"
T6100434,"2015 Welded Rail Installation On The 8th Avenue Line"
T6100435,"2015 Mainline Track Replacement On The Brighton Line"
T6100436,"2015 Mainline Track Replacement On The West End Line"
T6100437,"2015 Mainline Track Replacement On The White Plains Road Line"
T6100444,"2015 Mainline Track Replacement On The Pelham Line"
T6100445,"2015 Mainline Track Replacement On The Liberty Line"
T6100446,"2015 Mainline Switch Replacement On The Brighton Line"
T6100447,"2015 Mainline Switch Replacement On The Dyre Line"
T6100448,"2015 Mainline Switch Replacement On The Queens Boulevard Line"
T6100449,"2015 Mainline Switch Replacement On The 8th Avenue Line"
T6100451,"Mainline Track And Third Rail Replacement For 2nd Avenue-63Rd Street Connection - Design Only"
T6100452,"Integrated Wheel And Rail Monitoring And Analytics"
T6100453,"Purchase And Installation Of A 2-Ton Overhead Crane At 207th Street Maintenance Facility"
T6120303,"New Jamaica Depot - Phase 1"
T6120304,"126 Street Bus Depot Decommissioning"
T6120305,"Rehabilitation And Conversion Of East New York Paint Shop"
T6120306,"Pavement Repairs At Jackie Gleason Bus Depot (Sbmp)"
T6120307,"New Elevator At The Medical Assessment Center At Queens Village Bus Depot (Sbmp)"
T6120308,"Replace Sliding Gates At Jackie Gleason Bus Depot (Sbmp)"
T6120309,"Replacement Of Chassis Washes At Michael J. Quill Bus Depot (Sbmp)"
T6120310,"Fireproofing At Tuskegee Airmen Depot (Sbmp)"
T6120311,"Upgrade Heating, Ventilation, Air Condition Systems And Rehab Office At East New York Depot"
T6120312,"Rehab Components At Zerega Bus Depot Central Maintenance Facility - Design Only"
T6120313,"Rehab Components At Gun Hill Bus Depot - Design Only"
T6120314,"Rehab Components At Casey Stengel Bus Depot - Design Only"
T6120315,"Rehab Components At Queens Village Bus Depot - Design Only"
T6120317,"Kingsbridge Depot Roof Replacement Of Annex Building (Sbmp)"
T6120318,"Upgrade Cng Facility At Jackie Gleason Bus Depot"
T6120319,"Locker Room Renovation At East New York Depot"
T6120320,"Fireproofing Sealant 2nd And 3Rd Floors At Tuskegee Depot (Sbmp)"
T6120321,"Facade Repair And Window Replacement At East New York Bus Depot - Design Only"
T6120323,"Window Replacement At Flatbush And Ulmer Park Depots"
T6120324,"Wall Repair At Flatbush Bus Depot (Sbmp)"
T6120302,"In-House Mini-Rehabilitation At Various Depots"
T6120402,"Bus Rapid Transit"
T6120405,"Install Intelligent Vehicle Network Systems: 5 Depots"
T6120406,"Rehab 3 Bus Washers At Manhattanville Depot"
T6120407,"Property Purchase: Kingsbridge Depot"
T6120408,"Upgrade Paint Application System At 2 Depots"
T6120409,"Storage Tank Upgrades At Fresh Pond Depot (Sbmp)"
T6120410,"Upgrade Heating, Ventilation, Air Condition Systems At Yukon Depot"
T6120412,"Parking Lot Development At Jamaica And Grand Avenue Depots"
T6120414,"Automated Fuel Management System Upgrade"
T6120416,"Bus Washers At 4 Depots (Design Only) And Queens Village Depot (Sbmp)"
T6120420,"Jamaica Bus Terminal"
T6120421,"Department Of Buses Facility At st George Terminal"
T6120422,"Manhattanville Comprehensive Facade Repairs"
T6120423,"Storage Tank Upgrade At Jamaica Depot (Sbmp)"
T6120424,"Rehab 2 Bus Washers At Gun Hill Depot (Sbmp)"
T6120425,"Rehab 3 Bus Washers At Kingsbridge Depot (Sbmp)"
T6120426,"Rehab 2 Bus Washers At Casey Stengel Depot (Sbmp)"
T6120427,"Rehab 4 Bus Washers At 2 Depots (Sbmp)"
T6120428,"Rehab 4 Bus Washers At 2 Depots (SBFP)"
T6120429,"New Bus Command Center Building"
T6120430,"Construct 1 Bus Washer And Rehab 2 Bus Washers At Michael J. Quill Depot"
T6120432,"Replace Paint Booth At Queens Village Bus Depot (Sbmp)"
T6120433,"Removal Of In-Ground Lifts At 5 Bus Depots"
T6120434,"Replacement Of Chassis Wash At Queens Village Bus Depot (Sbmp)"
T6120435,"Replacement Of 6 Bus Washers At 3 Depots - Design Only"
T6120436,"Replacement Of Oil-Water Separators At 4 Depots"
T6120438,"Shoreline Upgrade At Kingsbridge Bus Depot - Design Only"
T6120439,"Upgrade 7 Elevators At 5 Bus Depots - Design Only"
T6120440,"Replacement Of Vertical Platform Lift At East New York (Sbmp)"
T6120442,"Upgrade Existing Paint Booth And Install New Paint Booth At Zerega Central Maintenance Facility (Sbmp) - Design Only"
T6120444,"New East New York (Eny) Tower - Nyct"
T6120401,"Upgrade Paint Booth Air Systems At Various Depots"
T6120403,"Replacement Of Bus Radio System"
T6120411,"Depot Equipment Replacement"
T6120413,"Replace The Automated Decision Engine For Passenger Transportation (Adept) System (Paratransit Scheduling)"
T6120415,"Bus Lift Replacement"
T6120418,"Camera Enforcement System Pilot"
T6120419,"Miscellaneous Property Acquisition"
T6120437,"Replacement Of Storage Tanks - Design Only"
T6120443,"Bus Rapid Transit: Advance 240 Metrocard Fare Machines"
T6120445,"Cad/Avl & Secure Bus Access (Sba)"
T6160213,"Help Point At 233 Street And 238 Street-Nereid Avenue Stations On The White Plains Road Line (Sbmp)"
T6160214,"Help Point At 219 Street And 225 Street Stations On The White Plains Road Line (Sbmp)"
T6160219,"Help Point At Allerton Avenue And Burke Avenue Stations On The White Plains Road Line (Sbmp)"
T6160220,"Help Point At Avenue N And Avenue X Stations On The Culver Line (Sbmp)"
T6160221,"Help Point At Avenue I And Bay Parkway Stations On The Culver Line (Sbmp)"
T6160222,"Help Point At Bronx Park East On The White Plains Road Line And 82nd Street-Jackson Heights On The Flushing Line (Sbmp)"
T6160223,"Help Point At 52nd Street And 69th Street On The Flushing Line (Sbmp)"
T6160224,"Help Point At Mosholu Parkway And Bedford Park Boulevard Stations On The Jerome Line (Sbmp)"
T6160201,"Capital Revolving Fund - 2010"
T6160202,"Capital Revolving Fund - 2011"
T6160203,"Capital Revolving Fund - 2012"
T6160204,"Capital Revolving Fund - 2013"
T6160205,"Capital Revolving Fund - 2014"
T6160206,"All Agency Protective Liability Insurance Deductible"
T6160207,"All Agency Protective Liability Insurance Premiums"
T6160209,"Owner Controlled Insurance Program"
T6160210,"Reserve: Superstorm Sandy Recovery Work"
T6160211,"Reserve: Small Business Mentoring Program"
T6160212,"Reserve: Superstorm Sandy Mitigation Work"
T6160218,"Reserve: Sandy Mitigation Power Cables And Ducts In The Montague Tube"
T6160225,"Reserve: Superstorm Sandy Resiliency Grant Support"
T6160405,"Upgrade Heating, Ventilation And Air Conditioning System At 130 Livingston Plaza (Sbmp)"
T6160401,"Capital Project Information Central System Technology Conversion"
T6160402,"Nyct-Wide Storage Area Network/Disaster Recovery"
T6160404,"Wide Area Network/Local Area Network Equipment Replacement Phase 1"
T6160406,"Upgrade Penta Voice Communication System"
T6160605,"Fire Sprinkler/Alarm Systems At 11 Employee Facilities"
T6160606,"Replace Fire Alarm At 207 st Overhaul Shop"
T6160611,"Replace Fire Alarm Systems At Various Locations"
T6160613,"Replacement Of Fire Alarm System At 3 Locations - Design Only"
T6160614,"Replace Fire Alarm Systems At 3 Locations (Sbmp)"
T6160615,"Replace Fire Alarm Systems At 3 Locations (Sbmp)"
T6160601,"Asbestos Abatement: Priority 7"
T6160602,"Asbestos Removal"
T6160603,"Asbestos / Lead Air Monitoring"
T6160604,"Asbestos Disposal"
T6160607,"Groundwater, Soil Remediation"
T6160608,"Consultant Services - Underground Storage Tank Remediation"
T6160609,"Asbestos Removal"
T6160610,"Asbestos / Lead Air Monitoring"
T6160612,"Consultant Services - Underground Storage Tank Remediation"
T6160702,"Disposition Of Jay Street Systems Phase 1"
T6160704,"Rehabilitate Employee Facilities At Jay st On The Fulton Line"
T6160705,"Rehab Employee Facility At Chambers st On The Nassau Line"
T6160706,"Maspeth Warehouse Repairs"
T6160708,"Livingston Plaza Emergency Generator Upgrade - Design Only"
T6160710,"Rehabilitation Of Employee Facility At West 4 st On The 6th And 8th Av Line"
T6160711,"Rehab Automated Fare Control Employee Facility At 8th Ave On The Sea Beach Line"
T6160713,"Rehabilitation Of Employee Facility At 207th Street On The 8th Av Line"
T6160715,"Rehabilitation Of 9 Employee Facilities On The Crosstown Line"
