code,description
T5160724,"Employee Facilities Rehabilitation Parkchester-East 177th Street Station - Pelham Line"
T5160726,"Employee Facilities Rehabilitation East 180th Street Station - White Plains Road Line"
T5010101,"Purchase 23 A Division Cars"
T5010103,"Purchase 382 B Division Cars"
T5030206,"747 Standard Buses 2007"
T5030218,"90 Standard Buses 2009"
T5030221,"54 Express Buses"
T5050213,"Mainline Track Replacement 2009"
T5050214,"Track Force Account 2009"
T5050305,"25 Mainline Switches In-House 2009"
T5130205,"Purchase 19 Diesel-Electric Locomotives"
L5020425,"Jamaica Fit-Out Phase 2"
L50304TQ,"Main Line Corridor Improvements -Hicksville North Siding"
L50304TR,"Main Line Corridor Improvements -Hicksville Station Improvements"
L50304TS,"Main Line Corridor Improvements -Divide Supervisory Control & Remote Terminal Units (Rtus)"
L50304TT,"Main Line Corridor Improvements -Ellison Avenue Bridge"
L50304TY,"Main Line Corridor Improvements -Oyster Bay Branch Improvement With Mineola Drainage"
L50401B4,"Atlantic Viaduct, Phase I"
L50499BY,"Atlantic Avenue Viaduct, Phase Ii(A)"
L50501S7,"Fiber Optic Network"
L50501S8,"Audio Visual Paging System"
L50502SL,"Jay, Hall & Dunton Microprocessors"
L506016Y,"Life Cycle Maintenance Shop - Design And Construction"
L50701PG,"Replace 3 Substations"
L50701PH,"Demolish / Construct 6 Substations"
M5020201,"Hudson Line Stations Improvements"
M5020202,"Croton-Harmon And Peekskill Station Improvements"
M5020205,"New Haven Line Stations Improvements"
M5020303,"Cortlandt Parking And Access Improvements"
M5029901,"Tarrytown Station Improvement"
M5030102,"Turnouts: Mainline / High Speed"
M5030301,"West Of Hudson Improvements Track Program"
M5040107,"Signal System Replacement"
M5050108,"Harlem And Hudson Lines Power"
D501CB08,"Deck And Structural Rehabilitation - Cross Bay Bridge."
D501TN85,"Structural Steel Repairs At The Suspended Spans And Tower Spans Of The Throgs Neck Bridge."
D502BW89,"Elevated And On Grade Approach Deck Replacement At The Whitestone Bridge."
D502HH80,"Lower Level Deck Replacement At The Henry Hudson Bridge."
D502TB64,"Replacement Of Decks At Randall'S Island And Ward'S Island Viaduct And New Ramps At Robert F. Kennedy Bridge."
D502TN50,"Replacement Of Concrete Deck And Rehabilitation Of The Abutment And Retaining Walls Of The Queens Approach To Throgs Neck Bridge."
D502VN80,"Rehabilitate Suspended Decks, Upper Level - Verrazano Narrows Bridge."
G5090114,"ESA: Grand Central Terminal Concourse Civil & Structural"
G5090115,"ESA: 50th Street Ventilation Facility"
G5090117,"ESA: Construction Of Various Infrastructure Elements At Harold Interlocking (Part 1)"
G5090118,"ESA: Harold Interlocking Force Account Work"
G5090119,"ESA: Harold Cils & Communication System"
G5090122,"ESA: Queens Bored Infrastructure"
G5090128,"ESA: Madison Yard Demolition"
G5100101,"Second Avenue Subway: Contract 2A - 96th Street Station"
G5100102,"Second Avenue Subway: Contract 4B - 72nd Street Station Structure"
G5100103,"Second Avenue Subway: Contract 5A - 86th Street Station Structure"
G5100104,"Second Avenue Subway: Contract 6: Systems"
G5110104,"Structural And Civil Construction For The Extension Of #7 Subway Line"
G5110107,"Construction Work At Site L For The Extension Of #7 Subway Line"
G5110108,"Construction Work At Site J For The Extension Of #7 Subway Line"
G5110110,"Construction Work At Site K For The Extension Of #7 Subway Line"
G5110101,"Reserve Funds For Work Beyond Running Tunnel For The Extension Of The #7 Subway Line"
G5110103,"Construction Management Services For The Extension Of #7 Subway Line"
E6040201,"Restoration Of Throgs Neck Bridge Tower Base Lighting After Super Storm Sandy"
E6040202,"Recovery: Beach 116 Street Station On The Rockaway Line"
E6040206,"Communications & Signal Infrastructure Restoration Phase 2"
E6040208,"MNR Comm & Signal Infrastructure Restoration"
E6040210,"Restoration Of Cross Bay Bridge Utilities Damaged By Super Storm Sandy"
E6040211,"Recovery: Police District Office #34 At Stillwell Terminal"
E6040212,"Recovery: South Ferry Advance Removal"
E6040213,"Recovery: South Ferry Station Complex"
E6040218,"Recovery: Purchase Emergency Alarms (South Ferry)"
E6040219,"Recovery: Station Rooms (South Ferry) (SBFP)"
E6040221,"Recovery: Station Rooms Ii (South Ferry) (SBFP)"
E6040222,"Recovery: Shaft Excavation - 1 Avenue (Canarsie Tube)"
E6040223,"Recovery: Old South Ferry Loop Entrance Closure (SBFP)"
E60402ZA,"East River Tunnel Restoration Of Signal System Reliability"
E60402ZB,"Wreck Lead Bridge Systems Restoration"
E6040205,"Communications & Signal Infrastructure Restoration Phase 1"
E6040207,"Restoration Of Marine Parkway Bridge -Electrical Equipment Damaged By Super Storm Sandy"
E6040203,"Restoration Of Ventilation Buildings Electrical And Mechanical Systems At Queens Midtown Tunnel After Super Storm Sandy"
E6040204,"Recovery: Stations, Facilities And Fare Equipment - Design Only"
E6040243,"Restore Hugh Carey Tunnel Utilities Damaged By Super Storm Sandy"
E6040281,"Restoration Of Queens Midtown Tunnel - Control/Communications Systems Cctv Traffic Signals After Super Storm Sandy"
E6040214,"Recovery Reserve: South Ferry Station Restoration"
E6040215,"Recovery Reserve: Rockaway Line Stations"
E6040216,"Recovery Reserve: Major Station Restoration At Various Locations"
E6040217,"Recovery: Purchase And Install Automated Fare Collection Equipment"
E6040303,"MNR Communication & Signal Infrastructure Resiliency"
E6040306,"Mitigation: 6 Lower Manhattan Stations - Design Only"
E6040307,"Enhancement Of Power Redundancy At The Throgs Neck Bridge"
E6040310,"Mitigation: Sidewalk Vent Covers (SBFP)"
E6040311,"Mitigation: 8 Lower And Upper Manhattan Locations - Design Only"
E6040313,"Mitigation: Stair Covers/Marine Doors At Subway Station Entrances In Lower Manhattan (SBFP)"
E6040314,"Mitigation: Stairwell Protection (Flexgates)"
E6040315,"Mitigation: Installation Of Watertight Hatches At Various Stations (SBFP)"
E6040316,"Mitigation: Stair Cover/Marine Doors At Subway Station Entrances In Lower Manhattan"
E6040318,"Mitigation: Coastal Storm Mechanical Closure Devices"
E6040320,"Mitigation: Critical Room Resiliency"
E6040322,"Mitigation: Street Level Openings"
E6040323,"Mitigation: Upgrade Backup Command Center"
E6040324,"Mitigation: Internal Station Hardening At 7 Stations"
E6040325,"Mitigation: Internal Station Hardening"
E6040326,"Mitigation: 6 Critical Lower Manhattan Locations - Design Only"
E6040327,"Mitigation: Street Level Openings At 7 Stations And 1 Fan Plant"
E6040328,"Mitigation: Street Level Openings At 9 Stations"
E6040329,"Mitigation: Internal Station Hardening At 3 Stations"
E6040331,"Mitigation: Long Term Flood Mitigation Studies At Various Locations"
E6040332,"Mitigation: Lower Manhattan Flood Doors/Hatches At Bowling Green Station On The Lexington Line"
E6040333,"Mitigation: Lower Manhattan Hatch Installation (Wrap-Up)"
E6040334,"Mitigation: Internal Station Hardening -148 st Comm Rm"
E6040338,"Mitigation: World Trade Center / Cortland Street"
E6040339,"Mitigation: 138 Street-Grand Concourse Station On The Jerome Line"
E6040342,"Mitigation: Street Level Protection At Wtc Cortlandt Station On The Broadway-7 Avenue Line"
E60403ZJ,"Atlantic Ave Tunnels Mitigation"
E6040302,"Mitigation Reserve: Emergency Communication Enhancements"
E6040301,"Power And Signals Mitigation"
E6040304,"Power And Signals Mitigation Phase 2"
E6040305,"Mitigation: Removable Ventilator Covers (SBFP)"
E6040308,"Mitigation: Lower Manhattan Hatch Installation (SBFP)"
E6040309,"Mitigation: Manhole Castings & Conduit Duct Penetration (SBFP)"
E6040317,"Mitigation: Upgrade Emergency Booth Communication System"
E6040330,"Mitigation: Design Support"
E6040335,"Mitigation: Coastal Storm MCD Wrap-Up"
E6040336,"Mitigation: Street Level Opening Wrap-Up"
E6040340,"Mitigation: Outstanding Street Level Opening"
E6040341,"Mitigation: Additional Work At Selected Vent Bays"
E6050202,"Environmental Clean-Up At The Hugh Carey Tunnel After Super Storm Sandy"
E6050205,"Recovery Reserve: Track Restoration At Various Locations"
E6050206,"Power Infrastructure Restoration Phase 1"
E6050207,"Power Infrastructure Restoration Phase 2"
E6050208,"Power Infrastructure Restoration - Substations"
E6050209,"Power Infrastructure Restoration - Harlem River Lift Bridge"
E6050210,"Power Infrastructure Restoration - Remote Terminal Houses"
E6050211,"This Project Will Provide Reserve Funding For The Sandy Program."
E6050212,"Recovery: Mainline Track (53 Street Tube)"
E6050213,"Recovery: Mainline Track (South Ferry)"
E6050214,"Recovery: Mainline Track (Steinway Tube)"
E6050216,"Recovery: Mainline Switches (South Ferry)"
E6050218,"Recovery: Mainline Switches (200th To 207th Street / 8th Avenue)"
E60502ZC,"Restoration Of The Long Beach Branch"
E6050201,"Restoration Of The Cross Bay Bridge Service Building After Super Storm Sandy"
E6050203,"Environmental Clean-Up At Queens Midtown Tunnel After Super Storm Sandy"
E6050204,"Restoration Of Queens Midtown Tunnel Ventilation Buildings After Super Storm Sandy"
E6050221,"Restoration Of Hugh Carey Tunnel Ventilation Buildings After Super Storm Sandy"
E6050215,"Recovery Reserve: Rockaway Line Track Restoration"
E6050217,"Recovery: Mainline Track (200th To 207th Street / 8th Avenue)"
E6050301,"Flood Mitigation - Relocate Revenue Equipment At The Verrazano Narrows Bridge"
E6050302,"Flood Mitigation - Studies And Conceptual Design For Flood Mitigation At The Hugh Carey And Queens Midtown Tunnels"
